"지수별","시점","경기종합지수",
"선행종합지수(2020=100)","2023.09 월","111.8",
"선행종합지수(2020=100)","2023.08 월","111.4",
"선행종합지수(2020=100)","2023.07 월","111.1",
"선행종합지수(2020=100)","2023.06 월","110.5",
"선행종합지수(2020=100)","2023.05 월","109.8",
"선행종합지수(2020=100)","2023.04 월","109.4",
"선행종합지수(2020=100)","2023.03 월","109.4",
"선행종합지수(2020=100)","2023.02 월","109.3",
"선행종합지수(2020=100)","2023.01 월","109.4",
"선행종합지수(2020=100)","2022.12 월","109.5",
"선행종합지수(2020=100)","2022.11 월","109.7",
"선행종합지수(2020=100)","2022.10 월","109.7",
"선행종합지수(2020=100)","2022.09 월","109.4",
"선행종합지수(2020=100)","2022.08 월","109",
"선행종합지수(2020=100)","2022.07 월","108.9",
"선행종합지수(2020=100)","2022.06 월","108.8",
"선행종합지수(2020=100)","2022.05 월","108.4",
"선행종합지수(2020=100)","2022.04 월","107.9",
"선행종합지수(2020=100)","2022.03 월","107.8",
"선행종합지수(2020=100)","2022.02 월","107.7",
"선행종합지수(2020=100)","2022.01 월","107.6",
"선행종합지수(2020=100)","2021.12 월","107.3",
"선행종합지수(2020=100)","2021.11 월","107.1",
"선행종합지수(2020=100)","2021.10 월","107.1",
"선행종합지수(2020=100)","2021.09 월","107.1",
"선행종합지수(2020=100)","2021.08 월","107.2",
"선행종합지수(2020=100)","2021.07 월","107.1",
"선행종합지수(2020=100)","2021.06 월","106.9",
"선행종합지수(2020=100)","2021.05 월","106.3",
"선행종합지수(2020=100)","2021.04 월","105.6",
"선행종합지수(2020=100)","2021.03 월","104.9",
"선행종합지수(2020=100)","2021.02 월","104.3",
"선행종합지수(2020=100)","2021.01 월","103.8",
"선행종합지수(2020=100)","2020.12 월","103.1",
"선행종합지수(2020=100)","2020.11 월","102.6",
"선행종합지수(2020=100)","2020.10 월","101.8",
"선행종합지수(2020=100)","2020.09 월","101.1",
"선행종합지수(2020=100)","2020.08 월","100.4",
"선행종합지수(2020=100)","2020.07 월","99.6",
"선행종합지수(2020=100)","2020.06 월","99",
"선행종합지수(2020=100)","2020.05 월","98.5",
"선행종합지수(2020=100)","2020.04 월","98.5",
"선행종합지수(2020=100)","2020.03 월","98.5",
"선행종합지수(2020=100)","2020.02 월","98.6",
"선행종합지수(2020=100)","2020.01 월","98.3",
"선행종합지수(2020=100)","2019.12 월","98",
"선행종합지수(2020=100)","2019.11 월","97.5",
"선행종합지수(2020=100)","2019.10 월","96.9",
"선행종합지수(2020=100)","2019.09 월","96.3",
"선행종합지수(2020=100)","2019.08 월","95.9",
"선행종합지수(2020=100)","2019.07 월","95.7",
"선행종합지수(2020=100)","2019.06 월","95.6",
"선행종합지수(2020=100)","2019.05 월","95.6",
"선행종합지수(2020=100)","2019.04 월","95.5",
"선행종합지수(2020=100)","2019.03 월","95.3",
"선행종합지수(2020=100)","2019.02 월","95",
"선행종합지수(2020=100)","2019.01 월","94.8",
"선행종합지수(2020=100)","2018.12 월","94.7",
"선행종합지수(2020=100)","2018.11 월","94.7",
"선행종합지수(2020=100)","2018.10 월","94.7",
"선행종합지수(2020=100)","2018.09 월","94.6",
"선행종합지수(2020=100)","2018.08 월","94.4",
"선행종합지수(2020=100)","2018.07 월","94.5",
"선행종합지수(2020=100)","2018.06 월","94.3",
"선행종합지수(2020=100)","2018.05 월","94.1",
"선행종합지수(2020=100)","2018.04 월","93.8",
"선행종합지수(2020=100)","2018.03 월","93.9",
"선행종합지수(2020=100)","2018.02 월","93.6",
"선행종합지수(2020=100)","2018.01 월","93.4",
"선행종합지수(2020=100)","2017.12 월","93.1",
"선행종합지수(2020=100)","2017.11 월","93",
"선행종합지수(2020=100)","2017.10 월","92.8",
"선행종합지수(2020=100)","2017.09 월","92.4",
"선행종합지수(2020=100)","2017.08 월","92.2",
"선행종합지수(2020=100)","2017.07 월","91.8",
"선행종합지수(2020=100)","2017.06 월","91.5",
"선행종합지수(2020=100)","2017.05 월","91",
"선행종합지수(2020=100)","2017.04 월","90.8",
"선행종합지수(2020=100)","2017.03 월","90.4",
"선행종합지수(2020=100)","2017.02 월","90",
"선행종합지수(2020=100)","2017.01 월","89.5",
"선행종합지수(2020=100)","2016.12 월","89.1",
"선행종합지수(2020=100)","2016.11 월","88.7",
"선행종합지수(2020=100)","2016.10 월","88.3",
"선행종합지수(2020=100)","2016.09 월","87.9",
"선행종합지수(2020=100)","2016.08 월","87.5",
"선행종합지수(2020=100)","2016.07 월","87.1",
"선행종합지수(2020=100)","2016.06 월","86.7",
"선행종합지수(2020=100)","2016.05 월","86.4",
"선행종합지수(2020=100)","2016.04 월","86.1",
"선행종합지수(2020=100)","2016.03 월","85.8",
"선행종합지수(2020=100)","2016.02 월","85.5",
"선행종합지수(2020=100)","2016.01 월","85.5",
"선행종합지수(2020=100)","2015.12 월","85.4",
"선행종합지수(2020=100)","2015.11 월","85.4",
"선행종합지수(2020=100)","2015.10 월","85.2",
"선행종합지수(2020=100)","2015.09 월","84.9",
"선행종합지수(2020=100)","2015.08 월","84.4",
"선행종합지수(2020=100)","2015.07 월","84.1",
"선행종합지수(2020=100)","2015.06 월","83.9",
"선행종합지수(2020=100)","2015.05 월","83.7",
"선행종합지수(2020=100)","2015.04 월","83.3",
"선행종합지수(2020=100)","2015.03 월","82.9",
"선행종합지수(2020=100)","2015.02 월","82.5",
"선행종합지수(2020=100)","2015.01 월","82.2",
"선행종합지수(2020=100)","2014.12 월","81.7",
"선행종합지수(2020=100)","2014.11 월","81.4",
"선행종합지수(2020=100)","2014.10 월","81.1",
"선행종합지수(2020=100)","2014.09 월","80.8",
"선행종합지수(2020=100)","2014.08 월","80.5",
"선행종합지수(2020=100)","2014.07 월","80.1",
"선행종합지수(2020=100)","2014.06 월","79.9",
"선행종합지수(2020=100)","2014.05 월","79.7",
"선행종합지수(2020=100)","2014.04 월","79.6",
"선행종합지수(2020=100)","2014.03 월","79.4",
"선행종합지수(2020=100)","2014.02 월","79.2",
"선행종합지수(2020=100)","2014.01 월","78.9",
"선행종합지수(2020=100)","2013.12 월","78.7",
"선행종합지수(2020=100)","2013.11 월","78.3",
"선행종합지수(2020=100)","2013.10 월","78",
"선행종합지수(2020=100)","2013.09 월","77.7",
"선행종합지수(2020=100)","2013.08 월","77.5",
"선행종합지수(2020=100)","2013.07 월","77.2",
"선행종합지수(2020=100)","2013.06 월","76.8",
"선행종합지수(2020=100)","2013.05 월","76.4",
"선행종합지수(2020=100)","2013.04 월","76.1",
"선행종합지수(2020=100)","2013.03 월","75.9",
"선행종합지수(2020=100)","2013.02 월","75.7",
"선행종합지수(2020=100)","2013.01 월","75.4",
"선행종합지수(2020=100)","2012.12 월","75.3",
"선행종합지수(2020=100)","2012.11 월","75",
"선행종합지수(2020=100)","2012.10 월","74.7",
"선행종합지수(2020=100)","2012.09 월","74.5",
"선행종합지수(2020=100)","2012.08 월","74.5",
"선행종합지수(2020=100)","2012.07 월","74.5",
"선행종합지수(2020=100)","2012.06 월","74.5",
"선행종합지수(2020=100)","2012.05 월","74.3",
"선행종합지수(2020=100)","2012.04 월","74.3",
"선행종합지수(2020=100)","2012.03 월","73.9",
"선행종합지수(2020=100)","2012.02 월","73.6",
"선행종합지수(2020=100)","2012.01 월","73.1",
"선행종합지수(2020=100)","2011.12 월","72.9",
"선행종합지수(2020=100)","2011.11 월","72.9",
"선행종합지수(2020=100)","2011.10 월","72.9",
"선행종합지수(2020=100)","2011.09 월","72.8",
"선행종합지수(2020=100)","2011.08 월","72.8",
"선행종합지수(2020=100)","2011.07 월","72.7",
"선행종합지수(2020=100)","2011.06 월","72.6",
"선행종합지수(2020=100)","2011.05 월","72.6",
"선행종합지수(2020=100)","2011.04 월","72.5",
"선행종합지수(2020=100)","2011.03 월","72.5",
"선행종합지수(2020=100)","2011.02 월","72.3",
"선행종합지수(2020=100)","2011.01 월","72",
"선행종합지수(2020=100)","2010.12 월","71.6",
"선행종합지수(2020=100)","2010.11 월","71.5",
"선행종합지수(2020=100)","2010.10 월","71.3",
"선행종합지수(2020=100)","2010.09 월","71.5",
"선행종합지수(2020=100)","2010.08 월","71.4",
"선행종합지수(2020=100)","2010.07 월","71.4",
"선행종합지수(2020=100)","2010.06 월","71.2",
"선행종합지수(2020=100)","2010.05 월","71",
"선행종합지수(2020=100)","2010.04 월","70.7",
"선행종합지수(2020=100)","2010.03 월","70.7",
"선행종합지수(2020=100)","2010.02 월","70.7",
"선행종합지수(2020=100)","2010.01 월","70.6",
"선행종합지수(2020=100)","2009.12 월","70.3",
"선행종합지수(2020=100)","2009.11 월","70",
"선행종합지수(2020=100)","2009.10 월","69.4",
"선행종합지수(2020=100)","2009.09 월","68.8",
"선행종합지수(2020=100)","2009.08 월","68.5",
"선행종합지수(2020=100)","2009.07 월","68.2",
"선행종합지수(2020=100)","2009.06 월","67.9",
"선행종합지수(2020=100)","2009.05 월","67.1",
"선행종합지수(2020=100)","2009.04 월","66.6",
"선행종합지수(2020=100)","2009.03 월","65.6",
"선행종합지수(2020=100)","2009.02 월","65.1",
"선행종합지수(2020=100)","2009.01 월","64.6",
"선행종합지수(2020=100)","2008.12 월","64.6",
"선행종합지수(2020=100)","2008.11 월","64.6",
"선행종합지수(2020=100)","2008.10 월","64.7",
"선행종합지수(2020=100)","2008.09 월","64.7",
"선행종합지수(2020=100)","2008.08 월","64.6",
"선행종합지수(2020=100)","2008.07 월","64.6",
"선행종합지수(2020=100)","2008.06 월","64.6",
"선행종합지수(2020=100)","2008.05 월","64.7",
"선행종합지수(2020=100)","2008.04 월","64.6",
"선행종합지수(2020=100)","2008.03 월","64.5",
"선행종합지수(2020=100)","2008.02 월","64.6",
"선행종합지수(2020=100)","2008.01 월","64.8",
"선행종합지수(2020=100)","2007.12 월","64.8",
"선행종합지수(2020=100)","2007.11 월","64.7",
"선행종합지수(2020=100)","2007.10 월","64.4",
"선행종합지수(2020=100)","2007.09 월","64.3",
"선행종합지수(2020=100)","2007.08 월","64.1",
"선행종합지수(2020=100)","2007.07 월","63.8",
"선행종합지수(2020=100)","2007.06 월","63.4",
"선행종합지수(2020=100)","2007.05 월","63",
"선행종합지수(2020=100)","2007.04 월","62.8",
"선행종합지수(2020=100)","2007.03 월","62.5",
"선행종합지수(2020=100)","2007.02 월","62.3",
"선행종합지수(2020=100)","2007.01 월","62.1",
"선행종합지수(2020=100)","2006.12 월","62",
"선행종합지수(2020=100)","2006.11 월","61.9",
"선행종합지수(2020=100)","2006.10 월","61.6",
"선행종합지수(2020=100)","2006.09 월","61.1",
"선행종합지수(2020=100)","2006.08 월","60.7",
"선행종합지수(2020=100)","2006.07 월","60.7",
"선행종합지수(2020=100)","2006.06 월","60.9",
"선행종합지수(2020=100)","2006.05 월","60.9",
"선행종합지수(2020=100)","2006.04 월","60.8",
"선행종합지수(2020=100)","2006.03 월","60.7",
"선행종합지수(2020=100)","2006.02 월","60.6",
"선행종합지수(2020=100)","2006.01 월","60.3",
"선행종합지수(2020=100)","2005.12 월","60",
"선행종합지수(2020=100)","2005.11 월","59.6",
"선행종합지수(2020=100)","2005.10 월","59.3",
"선행종합지수(2020=100)","2005.09 월","59.1",
"선행종합지수(2020=100)","2005.08 월","58.7",
"선행종합지수(2020=100)","2005.07 월","58.4",
"선행종합지수(2020=100)","2005.06 월","58.1",
"선행종합지수(2020=100)","2005.05 월","58.2",
"선행종합지수(2020=100)","2005.04 월","58.1",
"선행종합지수(2020=100)","2005.03 월","57.9",
"선행종합지수(2020=100)","2005.02 월","57.4",
"선행종합지수(2020=100)","2005.01 월","57.1",
"선행종합지수(2020=100)","2004.12 월","57.1",
"선행종합지수(2020=100)","2004.11 월","57",
"선행종합지수(2020=100)","2004.10 월","56.9",
"선행종합지수(2020=100)","2004.09 월","56.7",
"선행종합지수(2020=100)","2004.08 월","56.6",
"선행종합지수(2020=100)","2004.07 월","56.6",
"선행종합지수(2020=100)","2004.06 월","56.7",
"선행종합지수(2020=100)","2004.05 월","56.7",
"선행종합지수(2020=100)","2004.04 월","56.7",
"선행종합지수(2020=100)","2004.03 월","56.5",
"선행종합지수(2020=100)","2004.02 월","56.3",
"선행종합지수(2020=100)","2004.01 월","56",
"선행종합지수(2020=100)","2003.12 월","55.7",
"선행종합지수(2020=100)","2003.11 월","55.5",
"선행종합지수(2020=100)","2003.10 월","55.4",
"선행종합지수(2020=100)","2003.09 월","54.9",
"선행종합지수(2020=100)","2003.08 월","54.7",
"선행종합지수(2020=100)","2003.07 월","54.3",
"선행종합지수(2020=100)","2003.06 월","54.1",
"선행종합지수(2020=100)","2003.05 월","53.7",
"선행종합지수(2020=100)","2003.04 월","53.7",
"선행종합지수(2020=100)","2003.03 월","53.8",
"선행종합지수(2020=100)","2003.02 월","53.7",
"선행종합지수(2020=100)","2003.01 월","53.7",
"선행종합지수(2020=100)","2002.12 월","53.6",
"선행종합지수(2020=100)","2002.11 월","53.5",
"선행종합지수(2020=100)","2002.10 월","53.4",
"선행종합지수(2020=100)","2002.09 월","53.7",
"선행종합지수(2020=100)","2002.08 월","53.8",
"선행종합지수(2020=100)","2002.07 월","53.9",
"선행종합지수(2020=100)","2002.06 월","54.1",
"선행종합지수(2020=100)","2002.05 월","54.5",
"선행종합지수(2020=100)","2002.04 월","54.4",
"선행종합지수(2020=100)","2002.03 월","54.1",
"선행종합지수(2020=100)","2002.02 월","53.2",
"선행종합지수(2020=100)","2002.01 월","52.3",
"선행종합지수(2020=100)","2001.12 월","51.3",
"선행종합지수(2020=100)","2001.11 월","50.4",
"선행종합지수(2020=100)","2001.10 월","49.6",
"선행종합지수(2020=100)","2001.09 월","49.2",
"선행종합지수(2020=100)","2001.08 월","49",
"선행종합지수(2020=100)","2001.07 월","48.9",
"선행종합지수(2020=100)","2001.06 월","48.8",
"선행종합지수(2020=100)","2001.05 월","48.5",
"선행종합지수(2020=100)","2001.04 월","48",
"선행종합지수(2020=100)","2001.03 월","47.7",
"선행종합지수(2020=100)","2001.02 월","47.5",
"선행종합지수(2020=100)","2001.01 월","47.3",
"선행종합지수(2020=100)","2000.12 월","47.8",
"선행종합지수(2020=100)","2000.11 월","48.3",
"선행종합지수(2020=100)","2000.10 월","49.3",
"선행종합지수(2020=100)","2000.09 월","49.8",
"선행종합지수(2020=100)","2000.08 월","50",
"선행종합지수(2020=100)","2000.07 월","49.5",
"선행종합지수(2020=100)","2000.06 월","49.4",
"선행종합지수(2020=100)","2000.05 월","49.2",
"선행종합지수(2020=100)","2000.04 월","49.1",
"선행종합지수(2020=100)","2000.03 월","49.2",
"선행종합지수(2020=100)","2000.02 월","49",
"선행종합지수(2020=100)","2000.01 월","48.8",
"선행종합지수(2020=100)","1999.12 월","48.1",
"선행종합지수(2020=100)","1999.11 월","47.9",
"선행종합지수(2020=100)","1999.10 월","47.5",
"선행종합지수(2020=100)","1999.09 월","47.5",
"선행종합지수(2020=100)","1999.08 월","47.2",
"선행종합지수(2020=100)","1999.07 월","46.7",
"선행종합지수(2020=100)","1999.06 월","46",
"선행종합지수(2020=100)","1999.05 월","45.1",
"선행종합지수(2020=100)","1999.04 월","44.5",
"선행종합지수(2020=100)","1999.03 월","43.8",
"선행종합지수(2020=100)","1999.02 월","43",
"선행종합지수(2020=100)","1999.01 월","42.2",
"선행종합지수(2020=100)","1998.12 월","41.4",
"선행종합지수(2020=100)","1998.11 월","40.8",
"선행종합지수(2020=100)","1998.10 월","40.3",
"선행종합지수(2020=100)","1998.09 월","39.8",
"선행종합지수(2020=100)","1998.08 월","39.4",
"선행종합지수(2020=100)","1998.07 월","38.8",
"선행종합지수(2020=100)","1998.06 월","38.4",
"선행종합지수(2020=100)","1998.05 월","38.2",
"선행종합지수(2020=100)","1998.04 월","38",
"선행종합지수(2020=100)","1998.03 월","37.5",
"선행종합지수(2020=100)","1998.02 월","37.2",
"선행종합지수(2020=100)","1998.01 월","37.7",
"선행종합지수(2020=100)","1997.12 월","38.6",
"선행종합지수(2020=100)","1997.11 월","39.5",
