변환,원자료
"2023/08","107"
"2023/07","102"
"2023/06","100"
"2023/05","92"
"2023/04","87"
"2023/03","80"
"2023/02","71"
"2023/01","68"
"2022/12","62"
"2022/11","61"
"2022/10","64"
"2022/09","67"
"2022/08","76"
"2022/07","82"
"2022/06","98"
"2022/05","111"
"2022/04","114"
"2022/03","104"
"2022/02","97"
"2022/01","100"
"2021/12","107"
"2021/11","116"
"2021/10","125"
"2021/09","128"
"2021/08","129"
"2021/07","129"
"2021/06","127"
"2021/05","124"
"2021/04","122"
"2021/03","124"
"2021/02","129"
"2021/01","130"
"2020/12","132"
"2020/11","130"
"2020/10","122"
"2020/09","117"
"2020/08","125"
"2020/07","125"
"2020/06","112"
"2020/05","96"
"2020/04","96"
"2020/03","112"
"2020/02","112"
"2020/01","116"
"2019/12","125"
"2019/11","120"
"2019/10","115"
"2019/09","109"
"2019/08","107"
"2019/07","106"
"2019/06","97"
"2019/05","93"
"2019/04","87"
"2019/03","83"
"2019/02","84"
"2019/01","91"
"2018/12","95"
"2018/11","101"
"2018/10","114"
"2018/09","128"
"2018/08","109"
"2018/07","98"
"2018/06","98"
"2018/05","102"
"2018/04","101"
"2018/03","107"
"2018/02","112"
"2018/01","110"
"2017/12","106"
"2017/11","106"
"2017/10","110"
"2017/09","103"
"2017/08","99"
"2017/07","115"
"2017/06","116"
"2017/05","109"
"2017/04","103"
"2017/03","99"
"2017/02","92"
"2017/01","92"
"2016/12","97"
"2016/11","107"
"2016/10","114"
"2016/09","112"
"2016/08","108"
"2016/07","111"
"2016/06","111"
"2016/05","106"
"2016/04","105"
"2016/03","101"
"2016/02","102"
"2016/01","102"
"2015/12","102"
"2015/11","113"
"2015/10","119"
"2015/09","117"
"2015/08","116"
"2015/07","119"
"2015/06","120"
"2015/05","122"
"2015/04","122"
"2015/03","123"
"2015/02","118"
"2015/01","116"
"2014/12","116"
"2014/11","119"
"2014/10","124"
"2014/09","124"
"2014/08","120"
"2014/07","113"
"2014/06","113"
"2014/05","113"
"2014/04","116"
"2014/03","121"
"2014/02","121"
"2014/01","117"
"2013/12","111"
"2013/11","113"
"2013/10","113"
"2013/09","109"
"2013/08","102"
"2013/07","103"
"2013/06","110"
"2013/05","111"
"2013/04","105"
"2013/03","101"
"2013/02","95"
"2013/01","94"
"2012/12",""
"2012/11",""
"2012/10",""
"2012/09",""
"2012/08",""
"2012/07",""
"2012/06",""
"2012/05",""
"2012/04",""
"2012/03",""
"2012/02",""
"2012/01",""
"2011/12",""
"2011/11",""
"2011/10",""
"2011/09",""
"2011/08",""
"2011/07",""
"2011/06",""
"2011/05",""
"2011/04",""
"2011/03",""
"2011/02",""
"2011/01",""
"2010/12",""
"2010/11",""
"2010/10",""
"2010/09",""
"2010/08",""
"2010/07",""
"2010/06",""
"2010/05",""
"2010/04",""
"2010/03",""
"2010/02",""
"2010/01",""
"2009/12",""
"2009/11",""
"2009/10",""
"2009/09",""
"2009/08",""
"2009/07",""
"2009/06",""
"2009/05",""
"2009/04",""
"2009/03",""
"2009/02",""
"2009/01",""
"2008/12",""
"2008/11",""
"2008/10",""
"2008/09",""
"2008/08",""
"2008/07",""
